animal_id,date_samplecollection,edta_1,edta_1_position,edta_1_available,edta_2,edta_2_position,edta_2_available,edta_3,edta_3_position,edta_3_available,serum_1,serum_1_position,serum_1_available,serum_2_box,serum_2_position,serum_2_available,serum_3,serum_3_position,serum_3_available,serum_4,serum_4_position,serum_4_available,hep_1,hep_1_position,hep_1_available,hep_2,hep_2_position,hep_2_available,hep_3,hep_3_position,hep_3_available,surplus,surplus_position,surplus_available,hair,FTA_1,FTA_2,FTA_3,infant_sample,comment
24AB04_0V2Z,2024-06-04,Box 1A,C2,true,Box 1B,C2,false,Box 1C,,false,Box 1D,,,Box 1E,C2,,Box 1F,C2,,Box 1G,C2,,Box 1H,C2,,Box 1I,C2,,Box 1J,C2,,Box 1K,,,,,,,,
24AB05,2024-06-04,Box 1A,C3,false,Box 1B,C3,false,Box 1C,,false,Box 1D,,,Box 1E,C3,,Box 1F,C3,,Box 1G,C3,,Box 1H,C3,,Box 1I,C3,,Box 1J,C3,,Box 1K,,,,,,,,
24AB06_3I2H,2024-06-04,Box 1A,C4,true,Box 1B,C4,false,Box 1C,,false,Box 1D,,,Box 1E,C4,,Box 1F,C4,,Box 1G,C4,,Box 1H,C4,,Box 1I,C4,,Box 1J,C4,,Box 1K,,,,,,,,
24AB07_5J8U,2024-06-04,Box 1A,C5,false,Box 1B,C5,false,Box 1C,,false,Box 1D,,,Box 1E,C5,,Box 1F,C5,,Box 1G,C5,,Box 1H,C5,,Box 1I,C5,,Box 1J,C5,,Box 1K,,,,,,,,
24AC01_1A2B,2024-07-14,Box 1A,C6,true,Box 1B,C6,false,Box 1C,,false,Box 1D,,true,Box 1E,C6,true,Box 1F,C6,true,Box 1G,C6,false,Box 1H,C6,true,Box 1I,C6,false,Box 1J,C6,,Box 1K,,,,,,,,
24AC02_3C4D,2024-07-14,Box 1A,C7,true,Box 1B,C7,false,Box 1C,,false,Box 1D,,true,Box 1E,C7,true,Box 1F,C7,true,Box 1G,C7,false,Box 1H,C7,true,Box 1I,C7,false,Box 1J,C7,,Box 1K,,,,,,,,
24AC03_5E6F,2024-07-14,Box 1A,C8,true,Box 1B,C8,false,Box 1C,,false,Box 1D,,true,Box 1E,C8,true,Box 1F,C8,true,Box 1G,C8,false,Box 1H,C8,true,Box 1I,C8,false,Box 1J,C8,,Box 1K,,,,,,,,
24AC04_7G8H,2024-07-14,Box 1A,C9,true,Box 1B,C9,false,Box 1C,,false,Box 1D,,true,Box 1E,C9,true,Box 1F,C9,true,Box 1G,C9,false,Box 1H,C9,true,Box 1I,C9,false,Box 1J,C9,,Box 1K,,,,,,,,
24AC05_9I0J,2024-07-14,Box 1A,D1,true,Box 1B,D1,false,Box 1C,,false,Box 1D,,true,Box 1E,D1,true,Box 1F,D1,false,Box 1G,D1,false,Box 1H,D1,true,Box 1I,D1,false,Box 1J,D1,,Box 1K,,,,,,,,
24AC06_2K3L,2024-07-15,Box 1A,D2,true,Box 1B,D2,false,Box 1C,,false,Box 1D,,true,Box 1E,D2,true,Box 1F,D2,true,Box 1G,D2,false,Box 1H,D2,true,Box 1I,D2,false,Box 1J,D2,,Box 1K,,,,,,,,
24AC07_6O7P,2024-07-15,Box 1A,D3,true,Box 1B,D3,false,Box 1C,,false,Box 1D,,true,Box 1E,D3,true,Box 1F,D3,true,Box 1G,D3,false,Box 1H,D3,true,Box 1I,D3,false,Box 1J,D3,,Box 1K,,,,,,,,
24AC08_8Q9R,2024-07-16,Box 1A,D4,true,Box 1B,D4,false,Box 1C,,false,Box 1D,,true,Box 1E,D4,true,Box 1F,D4,true,Box 1G,D4,false,Box 1H,D4,true,Box 1I,D4,false,Box 1J,D4,,Box 1K,,,,,,,,
24AC09_0S1T,2024-07-16,Box 1A,D5,true,Box 1B,D5,false,Box 1C,,false,Box 1D,,true,Box 1E,D5,true,Box 1F,D5,true,Box 1G,D5,false,Box 1H,D5,true,Box 1I,D5,false,Box 1J,D5,,Box 1K,,,,,,,,
24AC10_3U4V,2024-07-16,Box 1A,D6,true,Box 1B,D6,false,Box 1C,,false,Box 1D,,true,Box 1E,D6,true,Box 1F,D6,true,Box 1G,D6,false,Box 1H,D6,true,Box 1I,D6,false,Box 1J,D6,,Box 1K,,,,,,,,
24AC11_5W6X,2024-07-16,Box 1A,D7,true,Box 1B,D7,false,Box 1C,,false,Box 1D,,true,Box 1E,D7,true,Box 1F,D7,true,Box 1G,D7,false,Box 1H,D7,true,Box 1I,D7,false,Box 1J,D7,,Box 1K,,,,,,,,
24AC12_7Y8Z,2024-07-16,Box 1A,D8,true,Box 1B,D8,false,Box 1C,,false,Box 1D,,true,Box 1E,D8,true,Box 1F,D8,true,Box 1G,D8,false,Box 1H,D8,true,Box 1I,D8,false,Box 1J,D8,,Box 1K,,,,,,,,
24AC13_9B0C,2024-07-17,Box 1A,D9,true,Box 1B,D9,false,Box 1C,,false,Box 1D,,true,Box 1E,D9,true,Box 1F,D9,true,Box 1G,D9,false,Box 1H,D9,true,Box 1I,D9,false,Box 1J,D9,,Box 1K,,,,,,,,
24AC14_1D2E,2024-07-17,Box 1A,E1,true,Box 1B,E1,false,Box 1C,,false,Box 1D,,true,Box 1E,E1,true,Box 1F,E1,true,Box 1G,E1,false,Box 1H,E1,true,Box 1I,E1,false,Box 1J,E1,,Box 1K,,,,,,,,
24AC15_3F4G,2024-07-17,Box 1A,E2,true,Box 1B,E2,false,Box 1C,,false,Box 1D,,true,Box 1E,E2,true,Box 1F,E2,true,Box 1G,E2,false,Box 1H,E2,true,Box 1I,E2,false,Box 1J,E2,,Box 1K,,,,,,,,
24AC16_5H6I,2024-07-17,Box 1A,E3,true,Box 1B,E3,false,Box 1C,,false,Box 1D,,true,Box 1E,E3,true,Box 1F,E3,true,Box 1G,E3,false,Box 1H,E3,true,Box 1I,E3,false,Box 1J,E3,,Box 1K,,,,,,,,
24AC17_7J8K,2024-07-17,Box 1A,E4,true,Box 1B,E4,false,Box 1C,,false,Box 1D,,true,Box 1E,E4,true,Box 1F,E4,true,Box 1G,E4,false,Box 1H,E4,true,Box 1I,E4,false,Box 1J,E4,,Box 1K,,,,,,,,
24AC18_9L0M,2024-07-19,Box 1A,E5,true,Box 1B,E5,false,Box 1C,,false,Box 1D,,true,Box 1E,E5,true,Box 1F,E5,true,Box 1G,E5,false,Box 1H,E5,true,Box 1I,E5,false,Box 1J,E5,,Box 1K,,,,,,,,
24AC19_2N3O,2024-07-19,Box 1A,E6,true,Box 1B,E6,true,Box 1C,,false,Box 1D,,true,Box 1E,E6,true,Box 1F,E6,true,Box 1G,E6,false,Box 1H,E6,true,Box 1I,E6,false,Box 1J,E6,,Box 1K,,,,,,,,
24AC20_4M5N,2024-07-19,Box 1A,E7,true,Box 1B,E7,false,Box 1C,,false,Box 1D,,true,Box 1E,E7,true,Box 1F,E7,true,Box 1G,E7,false,Box 1H,E7,true,Box 1I,E7,false,Box 1J,E7,,Box 1K,,,,,,,,
24AC21_4P5Q,2024-07-20,Box 1A,E8,true,Box 1B,E8,false,Box 1C,,false,Box 1D,,true,Box 1E,E8,true,Box 1F,E8,true,Box 1G,E8,true,Box 1H,E8,true,Box 1I,E8,false,Box 1J,E8,,Box 1K,,,,,,,,
24AD01_6R7S,2024-09-08,Box 1A,E9,true,Box 1B,E9,true,Box 1C,,false,Box 1D,,true,Box 1E,E9,true,Box 1F,E9,false,Box 1G,E9,false,Box 1H,E9,true,Box 1I,E9,true,Box 1J,E9,,Box 1K,,,,,,,,
24AD02_8T9U,2024-09-09,Box 1A,F1,true,Box 1B,F1,true,Box 1C,,false,Box 1D,,true,Box 1E,F1,true,Box 1F,F1,false,Box 1G,F1,false,Box 1H,F1,true,Box 1I,F1,true,Box 1J,F1,,Box 1K,,,,,,,,
24AD03_0V1W,2024-09-09,Box 1A,F2,true,Box 1B,F2,true,Box 1C,,false,Box 1D,,true,Box 1E,F2,true,Box 1F,F2,false,Box 1G,F2,false,Box 1H,F2,true,Box 1I,F2,true,Box 1J,F2,,Box 1K,,,,,,,,
24AD04_2X3Y,2024-09-13,Box 1A,F3,true,Box 1B,F3,true,Box 1C,,false,Box 1D,,true,Box 1E,F3,true,Box 1F,F3,false,Box 1G,F3,false,Box 1H,F3,true,Box 1I,F3,true,Box 1J,F3,,Box 1K,,,,,,,,
24AD05_4Z5A,2024-09-19,Box 1A,F4,true,Box 1B,F4,true,Box 1C,,false,Box 1D,,true,Box 1E,F4,true,Box 1F,F4,false,Box 1G,F4,false,Box 1H,F4,true,Box 1I,F4,true,Box 1J,F4,,Box 1K,,,,,,,,
24AD06_6B7C,2024-09-19,Box 1A,F5,true,Box 1B,F5,true,Box 1C,,false,Box 1D,,true,Box 1E,F5,true,Box 1F,F5,false,Box 1G,F5,false,Box 1H,F5,true,Box 1I,F5,true,Box 1J,F5,,Box 1K,,,,,,,,
24AD07_8D9E,2024-09-19,Box 1A,F6,true,Box 1B,F6,true,Box 1C,,false,Box 1D,,true,Box 1E,F6,true,Box 1F,F6,false,Box 1G,F6,false,Box 1H,F6,true,Box 1I,F6,true,Box 1J,F6,,Box 1K,,,,,,,,
24AD08_0F1G,2024-09-19,Box 1A,F7,true,Box 1B,F7,true,Box 1C,,false,Box 1D,,true,Box 1E,F7,true,Box 1F,F7,false,Box 1G,F7,false,Box 1H,F7,true,Box 1I,F7,true,Box 1J,F7,,Box 1K,,,,,,,,
24AE01,2024-11-10,Box 1A,F8,false,Box 1B,F8,false,Box 1C,,false,Box 1D,,false,Box 1E,F8,false,Box 1F,F8,false,Box 1G,F8,false,Box 1H,F8,false,Box 1I,F8,false,Box 1J,F8,,Box 1K,,,,,,,,
24AE02_2H3I,2024-11-10,Box 1A,F9,true,Box 1B,F9,true,Box 1C,,false,Box 1D,,true,Box 1E,F9,true,Box 1F,F9,false,Box 1G,F9,false,Box 1H,F9,true,Box 1I,F9,true,Box 1J,F9,,Box 1K,,,,,,,,
24AE03_4J5K,2024-11-10,Box 1A,G1,true,Box 1B,G1,true,Box 1C,,false,Box 1D,,true,Box 1E,G1,false,Box 1F,G1,false,Box 1G,G1,false,Box 1H,G1,true,Box 1I,G1,true,Box 1J,G1,,Box 1K,,,,,,,,
24AE04_6L7M,2024-11-10,Box 1A,G2,true,Box 1B,G2,true,Box 1C,,false,Box 1D,,true,Box 1E,G2,true,Box 1F,G2,false,Box 1G,G2,false,Box 1H,G2,true,Box 1I,G2,true,Box 1J,G2,,Box 1K,,,,,,,,
24AE05_8N9O,2024-11-10,Box 1A,G3,true,Box 1B,G3,true,Box 1C,,false,Box 1D,,true,Box 1E,G3,true,Box 1F,G3,false,Box 1G,G3,false,Box 1H,G3,true,Box 1I,G3,true,Box 1J,G3,,Box 1K,,,,,,,,
24AE06_0P1Q,2024-11-10,Box 1A,G4,true,Box 1B,G4,true,Box 1C,,false,Box 1D,,true,Box 1E,G4,true,Box 1F,G4,false,Box 1G,G4,false,Box 1H,G4,true,Box 1I,G4,true,Box 1J,G4,,Box 1K,,,,,,,,
24AE07_2R3S,2024-11-10,Box 1A,G5,true,Box 1B,G5,true,Box 1C,,false,Box 1D,,true,Box 1E,G5,true,Box 1F,G5,false,Box 1G,G5,false,Box 1H,G5,true,Box 1I,G5,true,Box 1J,G5,,Box 1K,,,,,,,,
24AE08_4T5U,2024-11-10,Box 1A,G6,true,Box 1B,G6,true,Box 1C,,false,Box 1D,,true,Box 1E,G6,true,Box 1F,G6,false,Box 1G,G6,false,Box 1H,G6,true,Box 1I,G6,true,Box 1J,G6,,Box 1K,,,,,,,,
24AE09_6V7W,2024-11-10,Box 1A,G7,true,Box 1B,G7,true,Box 1C,,false,Box 1D,,true,Box 1E,G7,true,Box 1F,G7,false,Box 1G,G7,,Box 1H,G7,true,Box 1I,G7,true,Box 1J,G7,,Box 1K,,,,,,,,
24AE10_8X9Y,2024-11-10,Box 1A,G8,true,Box 1B,G8,true,Box 1C,,false,Box 1D,,true,Box 1E,G8,true,Box 1F,G8,false,Box 1G,G8,,Box 1H,G8,true,Box 1I,G8,true,Box 1J,G8,,Box 1K,,,,,,,,
24AE11_021A,2024-11-11,Box 1A,G9,true,Box 1B,G9,true,Box 1C,,false,Box 1D,,true,Box 1E,G9,true,Box 1F,G9,false,Box 1G,G9,,Box 1H,G9,true,Box 1I,G9,true,Box 1J,G9,,Box 1K,,,,,,,,
24AE12_3B4C,2024-11-11,Box 1A,H1,true,Box 1B,H1,true,Box 1C,,false,Box 1D,,true,Box 1E,H1,true,Box 1F,H1,false,Box 1G,H1,,Box 1H,H1,true,Box 1I,H1,true,Box 1J,H1,,Box 1K,,,,,,,,
24AE13_5D6E,2024-11-11,Box 1A,H2,true,Box 1B,H2,true,Box 1C,,false,Box 1D,,true,Box 1E,H2,true,Box 1F,H2,false,Box 1G,H2,,Box 1H,H2,true,Box 1I,H2,false,Box 1J,H2,true,Box 1K,,,,,,,,
24AE14_7F8G,2024-11-11,Box 1A,H3,true,Box 1B,H3,true,Box 1C,,false,Box 1D,,true,Box 1E,H3,true,Box 1F,H3,false,Box 1G,H3,,Box 1H,H3,true,Box 1I,H3,true,Box 1J,H3,,Box 1K,,,,,,,,
24AE15_9H0I,2024-11-11,Box 1A,H4,true,Box 1B,H4,true,Box 1C,,false,Box 1D,,true,Box 1E,H4,false,Box 1F,H4,false,Box 1G,H4,,Box 1H,H4,true,Box 1I,H4,false,Box 1J,H4,,Box 1K,,,,,,,,
24AE16_1J2K,2024-11-11,Box 1A,H5,true,Box 1B,H5,true,Box 1C,,false,Box 1D,,true,Box 1E,H5,false,Box 1F,H5,false,Box 1G,H5,,Box 1H,H5,true,Box 1I,H5,,Box 1J,H5,,Box 1K,,,,,,,,
24AE17_3L4M,2024-11-11,Box 1A,H6,false,Box 1B,H6,false,Box 1C,,false,Box 1D,,,Box 1E,H6,,Box 1F,H6,,Box 1G,H6,,Box 1H,H6,,Box 1I,H6,,Box 1J,H6,,Box 1K,,,,,,,,
24AE18,2024-11-11,Box 1A,H7,false,Box 1B,H7,false,Box 1C,,false,Box 1D,,,Box 1E,H7,,Box 1F,H7,,Box 1G,H7,,Box 1H,H7,,Box 1I,H7,,Box 1J,H7,,Box 1K,,,,,,,,
24AE19_7P8Q,2024-11-12,Box 1A,H8,true,Box 1B,H8,false,Box 1C,,false,Box 1D,,true,Box 1E,H8,false,Box 1F,H8,false,Box 1G,H8,false,Box 1H,H8,true,Box 1I,H8,false,Box 1J,H8,,Box 1K,,,,,,,,
24AE20_9R0S,2024-11-12,Box 1A,H9,true,Box 1B,H9,false,Box 1C,,false,Box 1D,,true,Box 1E,H9,false,Box 1F,H9,false,Box 1G,H9,false,Box 1H,H9,true,Box 1I,H9,false,Box 1J,H9,,Box 1K,,,,,,,,
24AE21_2T3V,2024-11-12,Box 1A,I1,true,Box 1B,I1,false,Box 1C,,false,Box 1D,,true,Box 1E,I1,true,Box 1F,I1,false,Box 1G,I1,false,Box 1H,I1,false,Box 1I,I1,false,Box 1J,I1,,Box 1K,,,,,,,,
24AE22_4V5W,2024-11-12,Box 1A,I2,true,Box 1B,I2,true,Box 1C,,false,Box 1D,,true,Box 1E,I2,true,Box 1F,I2,false,Box 1G,I2,false,Box 1H,I2,true,Box 1I,I2,true,Box 1J,I2,,Box 1K,,,,,,,,
24AE23_7M4D,2024-11-12,Box 1A,I3,true,Box 1B,I3,false,Box 1C,,false,Box 1D,,true,Box 1E,I3,true,Box 1F,I3,false,Box 1G,I3,false,Box 1H,I3,true,Box 1I,I3,true,Box 1J,I3,,Box 1K,,,,,,,,
24AE24_8Z0F,2024-11-12,Box 1A,I4,true,Box 1B,I4,true,Box 1C,A1,true,Box 1D,,true,Box 1E,I4,true,Box 1F,I4,false,Box 1G,I4,false,Box 1H,I4,true,Box 1I,I4,true,Box 1J,I4,,Box 1K,,,,,,,,
24AE25,2024-11-12,Box 1A,I5,false,Box 1B,I5,false,Box 1C,,false,Box 1D,,false,Box 1E,I5,false,Box 1F,I5,false,Box 1G,I5,false,Box 1H,I5,false,Box 1I,I5,false,Box 1J,I5,,Box 1K,,,,,,,,
24AE26_3L1R,2024-11-12,Box 1A,I6,true,Box 1B,I6,true,Box 1C,,false,Box 1D,,true,Box 1E,I6,true,Box 1F,I6,false,Box 1G,I6,false,Box 1H,I6,true,Box 1I,I6,true,Box 1J,I6,,Box 1K,,,,,,,,
24AE27_0I1P,2024-11-12,Box 1A,I7,true,Box 1B,I7,false,Box 1C,,false,Box 1D,,true,Box 1E,I7,true,Box 1F,I7,false,Box 1G,I7,false,Box 1H,I7,false,Box 1I,I7,false,Box 1J,I7,,Box 1K,,,,,,,,
24AE28_6O6R,2024-11-12,Box 1A,I8,true,Box 1B,I8,false,Box 1C,,false,Box 1D,,true,Box 1E,I8,false,Box 1F,I8,false,Box 1G,I8,false,Box 1H,I8,true,Box 1I,I8,true,Box 1J,I8,,Box 1K,,,,,,,,
24AE29_8H6I,2024-11-13,Box 1A,I9,true,Box 1B,I9,true,Box 1C,A2,true,Box 1D,,,Box 1E,I9,,Box 1F,I9,,Box 1G,I9,,Box 1H,I9,false,Box 1I,I9,,Box 1J,I9,,Box 1K,,,,,,,,
24AE30_3S9D,2024-11-13,Box 2A,A1,true,Box 2B,A1,true,Box 1C,,false,Box 2D,,true,Box 2E,A1,true,Box 2F,A1,,Box 2G,A1,,Box 2H,A1,true,Box 2I,A1,true,Box 2J,A1,,Box 2K,,,,,,,,
24AE31_2K4Y,2024-11-13,Box 2A,A2,true,Box 2B,A2,true,Box 1C,,false,Box 2D,,true,Box 2E,A2,true,Box 2F,A2,,Box 2G,A2,,Box 2H,A2,true,Box 2I,A2,false,Box 2J,A2,,Box 2K,,,,,,,,
24AE32_0Q0T,2024-11-13,Box 2A,A3,true,Box 2B,A3,true,Box 1C,,false,Box 2D,,true,Box 2E,A3,false,Box 2F,A3,,Box 2G,A3,,Box 2H,A3,false,Box 2I,A3,false,Box 2J,A3,,Box 2K,,,,,,,,
24AE33_5V9U,2024-11-13,Box 2A,A4,true,Box 2B,A4,false,Box 1C,,false,Box 2D,,true,Box 2E,A4,true,Box 2F,A4,,Box 2G,A4,,Box 2H,A4,true,Box 2I,A4,false,Box 2J,A4,,Box 2K,,,,,,,,
24AE34_5U3E,2024-11-13,Box 2A,A5,true,Box 2B,A5,true,Box 1C,,false,Box 2D,,true,Box 2E,A5,true,Box 2F,A5,,Box 2G,A5,,Box 2H,A5,true,Box 2I,A5,true,Box 2J,A5,,Box 2K,,,,,,,,
24AE35_1O2M,2024-11-13,Box 2A,A6,true,Box 2B,A6,true,Box 1C,,false,Box 2D,,true,Box 2E,A6,false,Box 2F,A6,,Box 2G,A6,,Box 2H,A6,false,Box 2I,A6,false,Box 2J,A6,,Box 2K,,,,,,,,
24AE36_5U1K,2024-11-13,Box 2A,A7,true,Box 2B,A7,true,Box 1C,,false,Box 2D,,true,Box 2E,A7,false,Box 2F,A7,,Box 2G,A7,,Box 2H,A7,true,Box 2I,A7,true,Box 2J,A7,,Box 2K,,,,,,,,
24AE37_3F9E,2024-11-13,Box 2A,A8,true,Box 2B,A8,false,Box 1C,,false,Box 2D,,true,Box 2E,A8,false,Box 2F,A8,,Box 2G,A8,,Box 2H,A8,true,Box 2I,A8,false,Box 2J,A8,,Box 2K,,,,,,,,
24AE38_3N1A,2024-11-13,Box 2A,A9,true,Box 2B,A9,true,Box 1C,,false,Box 2D,,true,Box 2E,A9,false,Box 2F,A9,,Box 2G,A9,,Box 2H,A9,true,Box 2I,A9,true,Box 2J,A9,,Box 2K,,,,,,,,
24AE39_3Q8W,2024-11-14,Box 2A,B1,true,Box 2B,B1,false,Box 1C,,false,Box 2D,,true,Box 2E,B1,true,Box 2F,B1,,Box 2G,B1,,Box 2H,B1,true,Box 2I,B1,false,Box 2J,B1,,Box 2K,,,,,,,,
24AE40_0E0K,2024-11-14,Box 2A,B2,true,Box 2B,B2,true,Box 1C,,false,Box 2D,,true,Box 2E,B2,true,Box 2F,B2,,Box 2G,B2,,Box 2H,B2,true,Box 2I,B2,true,Box 2J,B2,,Box 2K,,,,,,,,
24AE41_2C8K,2024-11-14,Box 2A,B3,true,Box 2B,B3,true,Box 1C,,false,Box 2D,,true,Box 2E,B3,true,Box 2F,B3,,Box 2G,B3,,Box 2H,B3,true,Box 2I,B3,true,Box 2J,B3,,Box 2K,,,,,,,,
24AE42_7X5J,2024-11-14,Box 2A,B4,true,Box 2B,B4,true,Box 1C,,false,Box 2D,,true,Box 2E,B4,true,Box 2F,B4,,Box 2G,B4,,Box 2H,B4,true,Box 2I,B4,true,Box 2J,B4,,Box 2K,,,,,,,,
24AE43_4Z6U,2024-11-14,Box 2A,B5,true,Box 2B,B5,false,Box 1C,,false,Box 2D,,true,Box 2E,B5,false,Box 2F,B5,,Box 2G,B5,,Box 2H,B5,true,Box 2I,B5,false,Box 2J,B5,,Box 2K,,,,,,,,
24AE44_0Q4X,2024-11-14,Box 2A,B6,false,Box 2B,B6,false,Box 1C,,false,Box 2D,,false,Box 2E,B6,false,Box 2F,B6,,Box 2G,B6,,Box 2H,B6,false,Box 2I,B6,false,Box 2J,B6,,Box 2K,,,,,,,,
24AE45_5N4H,2024-11-14,Box 2A,B7,true,Box 2B,B7,false,Box 1C,,false,Box 2D,,true,Box 2E,B7,true,Box 2F,B7,,Box 2G,B7,,Box 2H,B7,true,Box 2I,B7,false,Box 2J,B7,,Box 2K,,,,,,,,
24AE46_4N8S,2024-11-14,Box 2A,B8,true,Box 2B,B8,true,Box 1C,,false,Box 2D,,true,Box 2E,B8,true,Box 2F,B8,,Box 2G,B8,,Box 2H,B8,true,Box 2I,B8,false,Box 2J,B8,,Box 2K,,,,,,,,
24AE47_3G6U,2024-11-14,Box 2A,B9,false,Box 2B,B9,false,Box 1C,,false,Box 2D,,true,Box 2E,B9,false,Box 2F,B9,,Box 2G,B9,,Box 2H,B9,false,Box 2I,B9,false,Box 2J,B9,,Box 2K,,,,,,,,
24AE48_8M0E,2024-11-14,Box 2A,C1,true,Box 2B,C1,true,Box 1C,,false,Box 2D,,true,Box 2E,C1,true,Box 2F,C1,,Box 2G,C1,,Box 2H,C1,true,Box 2I,C1,true,Box 2J,C1,,Box 2K,,,,,,,,
